time,tank1_level,tank2_level,v1_cmd,v2_cmd,v3_cmd,q_transfer
0.0,0.0,0.0,0,0,0,0.0
1.0,3.9999999999999996,0.0,1,0,0,0.0
2.0,8.000000000000002,0.0,1,0,0,0.0
3.0,12.000000000000005,0.0,1,0,0,0.0
4.0,16.000000000000007,0.0,1,0,0,0.0
5.0,19.999999999999993,0.0,1,0,0,0.0
6.0,23.99999999999998,0.0,1,0,0,0.0
7.0,27.999999999999964,0.0,1,0,0,0.0
8.0,31.99999999999995,0.0,1,0,0,0.0
9.0,35.999999999999936,0.0,1,0,0,0.0
10.0,39.99999999999992,0.0,1,0,0,0.0
11.0,43.99999999999991,0.0,1,0,0,0.0
12.0,47.99999999999989,0.0,1,0,0,0.0
13.0,51.99999999999988,0.0,1,0,0,0.0
14.0,55.999999999999865,0.0,1,0,0,0.0
15.0,59.99999999999985,0.0,1,0,0,0.0
16.0,63.99999999999984,0.0,1,0,0,0.0
17.0,67.99999999999989,0.0,1,0,0,0.0
18.0,71.99999999999994,0.0,1,0,0,0.0
19.0,76.0,0.0,1,0,0,0.0
20.0,80.00000000000006,0.0,1,0,0,0.0
21.0,84.00000000000011,0.0,1,0,0,0.0
22.0,88.00000000000017,0.0,1,0,0,0.0
23.0,92.00000000000023,0.0,1,0,0,0.0
24.0,96.00000000000028,0.0,1,0,0,0.0
25.0,100.00000000000034,0.0,1,0,0,0.0
26.0,104.0000000000004,0.0,1,0,0,0.0
27.0,108.00000000000045,0.0,1,0,0,0.0
28.0,112.00000000000051,0.0,1,0,0,0.0
29.0,116.00000000000057,0.0,1,0,0,0.0
30.0,120.00000000000063,0.0,1,0,0,0.0
31.0,124.00000000000068,0.0,1,0,0,0.0
32.0,128.00000000000074,0.0,1,0,0,0.0
33.0,132.0000000000008,0.0,1,0,0,0.0
34.0,136.00000000000085,0.0,1,0,0,0.0
35.0,140.0000000000009,0.0,1,0,0,0.0
36.0,144.00000000000097,0.0,1,0,0,0.0
37.0,148.00000000000102,0.0,1,0,0,0.0
38.0,152.00000000000108,0.0,1,0,0,0.0
39.0,156.00000000000114,0.0,1,0,0,0.0
40.0,160.0000000000012,0.0,1,0,0,0.0
41.0,164.00000000000125,0.0,1,0,0,0.0
42.0,168.0000000000013,0.0,1,0,0,0.0
43.0,172.00000000000136,0.0,1,0,0,0.0
44.0,176.00000000000142,0.0,1,0,0,0.0
45.0,180.00000000000148,0.0,1,0,0,0.0
46.0,184.00000000000153,0.0,1,0,0,0.0
47.0,188.0000000000016,0.0,1,0,0,0.0
48.0,192.00000000000165,0.0,1,0,0,0.0
49.0,196.0000000000017,0.0,1,0,0,0.0
50.0,200.00000000000176,0.0,1,0,0,0.0
51.0,204.00000000000182,0.0,1,0,0,0.0
52.0,208.00000000000188,0.0,1,0,0,0.0
53.0,212.00000000000193,0.0,1,0,0,0.0
54.0,216.000000000002,0.0,1,0,0,0.0
55.0,220.00000000000205,0.0,1,0,0,0.0
56.0,224.0000000000021,0.0,1,0,0,0.0
57.0,228.00000000000216,0.0,1,0,0,0.0
58.0,232.00000000000222,0.0,1,0,0,0.0
59.0,236.00000000000227,0.0,1,0,0,0.0
60.0,240.00000000000233,0.0,1,0,0,0.0
